id,level,surface,reading_kana,meaning_ko,issues,catalog_status,catalog_level,catalog_pron,catalog_entry,search_status,search_level,search_entry,jmdict_issue,jmdict_detail,example_source,example_contain_basis,example_jp,spelling_note,naver_means,source_url
w_ab8422702cbd9111,N3,染み,しみ,얼룩,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,染み,,,naver,surface,この染みは洗っても落ちない.,,,https://ja.dict.naver.com/#/search?query=%E6%9F%93%E3%81%BF
w_d728d1f32a31b6f6,N3,遭う,あう,"마주치다, 당하다",level-mismatch,mismatch,N2,遭う,%E3%81%82%E3%81%86,search_no_jlpt,,遭う,,,naver,surface,幾程もしないうちに、また事故に遭う,,"당하다, 겪다",https://ja.dict.naver.com/#/search?query=%E9%81%AD%E3%81%86
w_decc1190e2155c6d,N3,最上,さいじょう,최상,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,最上,,,naver,surface,からし漬けの食材としては、ナス、ことに秋ナスが最上であるとされています。,,,https://ja.dict.naver.com/#/search?query=%E6%9C%80%E4%B8%8A
w_60a3f114cea727ed,N3,居眠り,いねむり,"졸음, 졸기",naver-level-missing,naver_level_missing,,,,match,N3,居眠り,,,naver,surface,居眠り運転をしないでください。,,,https://ja.dict.naver.com/#/search?query=%E5%B1%85%E7%9C%A0%E3%82%8A
w_ad3291b74df870f2,N3,咥える,くわえる,입에 물다,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,咥える,,,naver,surface,タバコを口に咥える,,,https://ja.dict.naver.com/#/search?query=%E5%92%A5%E3%81%88%E3%82%8B
w_f2283357a892d08d,N3,話し合う,はなしあう,서로 이야기하다,naver-level-missing,naver_level_missing,,,,match,N3,話(し)合う,,,naver,surface,互いに解けて話し合う,,,https://ja.dict.naver.com/#/search?query=%E8%A9%B1%E3%81%97%E5%90%88%E3%81%86
w_a20295fb863710b7,N3,立ち上がる,たちあがる,일어서다,naver-level-missing,naver_level_missing,,,,match,N3,立(ち)上がる,,,naver,surface,励ましの言葉に力づいて再び立ち上がる.,,,https://ja.dict.naver.com/#/search?query=%E7%AB%8B%E3%81%A1%E4%B8%8A%E3%81%8C%E3%82%8B
w_991b3f178bb17c4b,N3,曲がる,まがる,"돌다, (방향을) 틀다",naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N5,曲(が)る,,,naver,surface,路地を突き当たって右に曲がる.,,,https://ja.dict.naver.com/#/search?query=%E6%9B%B2%E3%81%8C%E3%82%8B
w_fe90c06cc5136491,N3,ぶつける,ぶつける,"부딪다, 들이받다",example-headword-missing,match,N3,打付ける,ぶつける,,,,,,naver,missing,頭を戸に打付ける,,부딪다;던지다;던져 맞히다;맞부딪치다;대전시키다,https://ja.dict.naver.com/#/search?query=%E3%81%B6%E3%81%A4%E3%81%91%E3%82%8B
w_1c9b1884724ebe13,N3,引き受ける,ひきうける,받아들이다,naver-level-missing,naver_level_missing,,,,match,N3,引(き)受ける,,,naver,surface,本気で引き受ける,,,https://ja.dict.naver.com/#/search?query=%E5%BC%95%E3%81%8D%E5%8F%97%E3%81%91%E3%82%8B
w_fe9815fef183b04b,N3,行き先,いきさき,"목적지,행선지",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,行(き)先,,,naver,surface,電話局の交換機はインターチェンジだ。さまざまな車が積んできた荷物をそこで行き先別に積み替えるわけだが，あて名のついた積み荷を自動的に読み取り，積み替える,,,https://ja.dict.naver.com/#/search?query=%E8%A1%8C%E3%81%8D%E5%85%88
w_06e9d5004a46e142,N3,飛び出す,とびだす,뛰쳐나가다,naver-level-missing,naver_level_missing,,,,match,N3,飛(び)出す,,,naver,surface,普通の物質では，中に飛び出すことのできる電子があっても，熱を加えたり光を当てないと出てこないが，ダイヤモンドは，中の電子が飛び出しやすい性質があることが知られている,,,https://ja.dict.naver.com/#/search?query=%E9%A3%9B%E3%81%B3%E5%87%BA%E3%81%99
w_3b8bf0b034f0d82f,N3,下ろす,おろす,"내리다, (판단을) 내리다",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,下ろす·降ろす,,,naver,surface,幕を下ろす,,,https://ja.dict.naver.com/#/search?query=%E4%B8%8B%E3%82%8D%E3%81%99
w_1926f7032260e4dd,N3,明かり,あかり,"불빛, 빛",naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,明(か)り,,,naver,surface,窓の外に明かりが漏れる.,,,https://ja.dict.naver.com/#/search?query=%E6%98%8E%E3%81%8B%E3%82%8A
w_7dbf258739ff034a,N3,かゆい,かゆい,가렵다,example-headword-missing,match,N3,痒い,かゆい,,,,,,naver,missing,蚊に刺された跡が痒い,,가렵다,https://ja.dict.naver.com/#/search?query=%E3%81%8B%E3%82%86%E3%81%84
w_cf691fc505c3c55d,N3,短気だ,たんきだ,성미가급하다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=短気 suffix=だ,naver,surface,男が短気だ。,,,https://ja.dict.naver.com/#/search?query=%E7%9F%AD%E6%B0%97%E3%81%A0
w_f372d394a0a4c4e1,N3,現す,あらわす,"보여주다, 나타나다, 드러내다",naver-level-missing,naver_level_missing,,,,manual_review,N2,現(わ)す,,,naver,surface,おそらく恋に落ちているときに私たちが感じている気持ちが、正常な状態なのでしょう。恋しているときは、その人のあるべき姿を現すのですから。(アントン・チェーホフ),,,https://ja.dict.naver.com/#/search?query=%E7%8F%BE%E3%81%99
w_5907660844c2b516,N3,汚す,よごす,더럽히다,example-headword-missing,match,N3,汚す,よごす,,,,,,naver,missing,親の名を汚·(けが)す.,,더럽히다;푸성귀를 무치다,https://ja.dict.naver.com/#/search?query=%E6%B1%9A%E3%81%99
w_b685e7abbe1567a6,N3,昇る,のぼる,"(해가) 뜨다, 오르다",level-mismatch;level-mismatch-confirmed,mismatch,N2,昇る,%E3%81%AE%E3%81%BC%E3%82%8B,mismatch,N2,昇る,,,naver,surface,太陽が西から昇ることはあり得ない,,"높이 올라가다;지위가 오르다;또, 승급하다;떠오르다",https://ja.dict.naver.com/#/search?query=%E6%98%87%E3%82%8B
w_dcaabdcb8c29b760,N3,振り込み,ふりこみ,"납입, 남이 이기게 되는 패를 내놓음",naver-level-missing,naver_level_missing,,,,match,N3,振(り)込み·振込,,,naver,surface,代金の振り込みを求める,,,https://ja.dict.naver.com/#/search?query=%E6%8C%AF%E3%82%8A%E8%BE%BC%E3%81%BF
w_ccca30f58d1cf953,N3,申し込む,もうしこむ,신청하다,naver-level-missing,naver_level_missing,,,,match,N3,申(し)込む,,,naver,surface,ナンバーディスプレーを申し込む,,,https://ja.dict.naver.com/#/search?query=%E7%94%B3%E3%81%97%E8%BE%BC%E3%82%80
w_be9b5179d67a9ef9,N3,埋まる,うまる,"메워지다, 묻히다",naver-level-missing,naver_level_missing,,,,match,N3,埋まる,,,naver,surface,家が土砂に埋まる,,,https://ja.dict.naver.com/#/search?query=%E5%9F%8B%E3%81%BE%E3%82%8B
w_465fe84232149662,N3,税込み,ぜいこみ,세금을 포함한 액수,naver-level-missing;example-headword-missing,naver_level_missing,,,,match,N3,税込(み),,,naver,missing,かしこまりました。税込で90ドルです。お支払いは現金ですか? それともカードですか?,,,https://ja.dict.naver.com/#/search?query=%E7%A8%8E%E8%BE%BC%E3%81%BF
w_2ccccc5ce470df89,N3,組み立てる,くみたてる,조립하다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,組(み)立てる,,,naver,surface,プラモデルを組み立てる,,,https://ja.dict.naver.com/#/search?query=%E7%B5%84%E3%81%BF%E7%AB%8B%E3%81%A6%E3%82%8B
w_27b4eb4ed5d3fe45,N3,取り消す,とりけす,취소하다,naver-level-missing,naver_level_missing,,,,match,N3,取(り)消す,,,naver,surface,失言を取り消す,,,https://ja.dict.naver.com/#/search?query=%E5%8F%96%E3%82%8A%E6%B6%88%E3%81%99
w_e0c797218bacf3a1,N3,怖がる,こわがる,무서워하다,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,怖がる·恐がる,,,naver,surface,蛇を怖がる。,,,https://ja.dict.naver.com/#/search?query=%E6%80%96%E3%81%8C%E3%82%8B
w_39b26f179dfbec94,N3,蒸し暑い,むしあつい,무덥다,naver-level-missing,naver_level_missing,,,,match,N3,蒸(し)暑い,,,naver,surface,イ：今日はずっと蒸し暑いね。,,,https://ja.dict.naver.com/#/search?query=%E8%92%B8%E3%81%97%E6%9A%91%E3%81%84
w_878b871f0e14bc7c,N3,擤む,かむ,풀다,spelling-flagged-form,match,N3,擤む·挗む,かむ,,,,flagged-form,ke_inf=['rarely used kanji form'] re_inf=[] seq=1632670,naver,surface,鼻を擤む,,풀다,https://ja.dict.naver.com/#/search?query=%E6%93%A4%E3%82%80
w_a819a4776c13596c,N3,いらいら,いらいら,"초조함, 짜증",example-headword-missing,match,N3,苛苛,いらいら,,,,,,naver,missing,町の騒音に苛苛する,,안달복달하는 모양;까칫까칫;따끔따끔;조바심;안달,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%82%89%E3%81%84%E3%82%89
w_de05e8614dcecdb5,N3,滅多に,めったに,좀처럼~않다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,滅多に,,,naver,surface,忙しくて、滅多に休みが取れない,,,https://ja.dict.naver.com/#/search?query=%E6%BB%85%E5%A4%9A%E3%81%AB
w_949c210aa0e199be,N3,明ける,あける,"날이 새다, 끝나다",example-headword-missing,match,N3,明ける,あける,,,,,,naver,missing,夜が明渡る,,새다;밝다;새해가 되다;기간이 끝나다,https://ja.dict.naver.com/#/search?query=%E6%98%8E%E3%81%91%E3%82%8B
w_df2d3b2184646be9,N3,別々に,べつべつに,따로따로,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,別々に包装してください。,,,https://ja.dict.naver.com/#/search?query=%E5%88%A5%E3%80%85%E3%81%AB
w_f7ccae9d8e37b9be,N3,超す,こす,"넘다, 넘어서다",level-mismatch;level-mismatch-confirmed,mismatch,N2,超す,%E3%81%93%E3%81%99,mismatch,N2,超す,,,naver,surface,60の坂を超す,,넘다;초과하다,https://ja.dict.naver.com/#/search?query=%E8%B6%85%E3%81%99
w_bf7d5c4f25bd15e8,N3,こぼす,こぼす,"쏟다, 엎지르다",example-headword-missing,match,N3,零す·溢す,こぼす,,,,,,naver,missing,バケツの水を少し零す,,흘리다;엎지르다;불평하다;투덜대다;비어져 나오게 하다,https://ja.dict.naver.com/#/search?query=%E3%81%93%E3%81%BC%E3%81%99
w_a61620b169657c43,N3,剥く,むく,(껍질을) 벗기다,naver-level-missing;example-headword-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,剥く·剝く,,,naver,missing,バナナの皮をさっと剝く.,,,https://ja.dict.naver.com/#/search?query=%E5%89%A5%E3%81%8F
w_4265c3f9772eff26,N3,積もる,つもる,쌓이다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N4,積(も)る,,,naver,surface,雪がうず高く積もる.,,,https://ja.dict.naver.com/#/search?query=%E7%A9%8D%E3%82%82%E3%82%8B
w_c9624a11c7f3b950,N3,尤も,もっとも,"지당함, 당연함",level-ambiguous;level-mismatch-confirmed,manual_review,N2,尤も,もっとも,mismatch,N2,尤も,,,naver,surface,尤も、全部が全部そうだというわけではない,,지당함;사리에 맞음;그렇다고는 하지만;하긴,https://ja.dict.naver.com/#/search?query=%E5%B0%A4%E3%82%82
w_b6ef07b6f1141a3b,N3,乗り遅れる,のりおくれる,"놓치다;시간이 늦어 못 타다, 시류에 뒤떨어지다",naver-level-missing,naver_level_missing,,,,match,N3,乗(り)遅れる·乗(り)後れる,,,naver,surface,終発に乗り遅れる,,,https://ja.dict.naver.com/#/search?query=%E4%B9%97%E3%82%8A%E9%81%85%E3%82%8C%E3%82%8B
w_cd8f0f97b64b50c1,N3,何方,どっち,‘どちら’의 막된 말씨,spelling-flagged-form,match,N3,何方,どっち,,,,flagged-form,ke_inf=['rarely used kanji form'] re_inf=[] seq=1189360,naver,surface,何方に転んでもうれしくない,,‘どちら’의 막된 말씨,https://ja.dict.naver.com/#/search?query=%E4%BD%95%E6%96%B9
w_50e4cda93620aedd,N3,酔っ払う,よっぱらう,몹시 취하다,naver-level-missing,naver_level_missing,,,,match,N3,酔(っ)払う,,,naver,surface,焼酎で酔っ払う。,,,https://ja.dict.naver.com/#/search?query=%E9%85%94%E3%81%A3%E6%89%95%E3%81%86
w_69eda9773a03779e,N3,空地,あきち,공지;빈터;공터,spelling-flagged-form,match,N3,明地·空地,あきち,,,,flagged-form,ke_inf=['irregular okurigana usage'] re_inf=[] seq=1245340,naver,surface,空地に雑草が繁茂する,,공지;빈터;공터,https://ja.dict.naver.com/#/search?query=%E7%A9%BA%E5%9C%B0
w_3f46b28da139c16c,N3,売り切れる,うりきれる,"다팔리다,매진되다",naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,売(り)切れる,,,naver,surface,またたく間に売り切れる,,,https://ja.dict.naver.com/#/search?query=%E5%A3%B2%E3%82%8A%E5%88%87%E3%82%8C%E3%82%8B
w_7da89b0ae3f818ac,N3,もうしわけない,もうしわけない,변명할 여지가 없다;미안하다,example-headword-missing,match,N3,,もうしわけない,,,,,,naver,missing,約束を破ってまったく申しわけない,,변명할 여지가 없다;미안하다,https://ja.dict.naver.com/#/search?query=%E3%82%82%E3%81%86%E3%81%97%E3%82%8F%E3%81%91%E3%81%AA%E3%81%84
w_4abddafb7881f1bb,N3,いっきに,いっきに,단숨에;일거에,example-headword-missing,match,N3,,いっきに,,,,,,naver,missing,問題を一気に解決する,,단숨에;일거에,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%81%A3%E3%81%8D%E3%81%AB
w_1da66dbffe066645,N3,割り算,わりざん,나눗셈,naver-level-missing,naver_level_missing,,,,match,N3,割(り)算,,,naver,surface,イ：お姉さん、割り算できる？,,,https://ja.dict.naver.com/#/search?query=%E5%89%B2%E3%82%8A%E7%AE%97
w_831c5e9a87f0c027,N3,下線,かせん,밑줄,level-mismatch;level-mismatch-confirmed,mismatch,N2,下線,%E3%81%8B%E3%81%9B%E3%82%93,mismatch,N2,下線,,,naver,surface,オンマウスで下線が表示される,,밑줄,https://ja.dict.naver.com/#/search?query=%E4%B8%8B%E7%B7%9A
w_a88976287b450da4,N3,反る,かえる,"휘다, 뒤틀리다",level-mismatch;level-mismatch-confirmed,mismatch,N2,反る,%E3%81%8B%E3%81%88%E3%82%8B,mismatch,N2,反る,,,naver,surface,ボートが反る,,뒤집히다;젖혀지다;거꾸로 되다,https://ja.dict.naver.com/#/search?query=%E5%8F%8D%E3%82%8B
w_bf6addb52711a0ca,N3,書き取り,かきとり,"베껴 씀;또, 그 글, 받아쓰기",naver-level-missing,naver_level_missing,,,,match,N3,書(き)取り,,,naver,surface,英語の書き取りをさせる.,,,https://ja.dict.naver.com/#/search?query=%E6%9B%B8%E3%81%8D%E5%8F%96%E3%82%8A
w_f9780db0237f4603,N3,どうじに,どうじに,"동시에, 한꺼번에;일시에, 바로 그때에",example-headword-missing,match,N3,,%E3%81%A9%E3%81%86%E3%81%98%E3%81%AB,,,,,,naver,missing,二人が同時に発言した,,동시에;한꺼번에;일시에;바로 그때에,https://ja.dict.naver.com/#/search?query=%E3%81%A9%E3%81%86%E3%81%98%E3%81%AB
w_d77f137891d73cca,N3,摑む,つかむ,"잡다, 쥐다;붙잡다, 손에 넣다;수중에 거두다",spelling-flagged-form,match,N3,摑む·攫む,つかむ,,,,flagged-form,ke_inf=['rarely used kanji form'] re_inf=[] seq=1433650,naver,surface,思いがけない大金を摑む,,잡다;쥐다;붙잡다;손에 넣다;수중에 거두다,https://ja.dict.naver.com/#/search?query=%E6%91%91%E3%82%80
w_406c6e23203539b1,N3,ふやす,ふやす,"늘리다, 불리다;증식시키다",example-headword-missing,match,N3,,ふやす,,,,,,naver,missing,広告のクリック数を増やす,,늘리다;불리다;증식시키다,https://ja.dict.naver.com/#/search?query=%E3%81%B5%E3%82%84%E3%81%99
w_d6eed39e186a071d,N3,待ち合わせる,まちあわせる,"(장소,시간을정하고)만나기로하다",naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,待ち合(わ)せる·待合せる,,,naver,surface,駅の南口で待ち合わせる,,,https://ja.dict.naver.com/#/search?query=%E5%BE%85%E3%81%A1%E5%90%88%E3%82%8F%E3%81%9B%E3%82%8B
w_17f948120f29942a,N3,代る,かわる,"대신하다, 교대하다",naver-level-missing;example-headword-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N2,代(わ)る·替(わ)る·換(わ)る,,,naver,missing,寝ずの番を代り合う,,,https://ja.dict.naver.com/#/search?query=%E4%BB%A3%E3%82%8B
w_db25c865abdbfb17,N3,酌む,くむ,(술을) 따르다,level-mismatch;level-mismatch-confirmed,mismatch,N2,酌む,%E3%81%8F%E3%82%80,mismatch,N2,酌む,,,naver,surface,クライアントの意向をしっかり酌む,,따라서 마시다;추측하다;참작하다,https://ja.dict.naver.com/#/search?query=%E9%85%8C%E3%82%80
w_5a0c146e1f62fe06,N3,彼此,あれこれ,"이것저것, 여러 가지로",spelling-flagged-form,match,N3,彼此·彼是,あれこれ,,,,flagged-form,ke_inf=['rarely used kanji form'] re_inf=[] seq=1612650,naver,surface,彼此と結合せて,,이것저것;여러 가지로,https://ja.dict.naver.com/#/search?query=%E5%BD%BC%E6%AD%A4
w_1acadab0e96ab9d7,N3,くたびれる,くたびれる,지치다,example-headword-missing,match,N3,草臥れる,くたびれる,,,,,,naver,missing,長旅をしてすっかり草臥れる,,지치다;피로하다;지쳐서 싫증날 정도로 …하다,https://ja.dict.naver.com/#/search?query=%E3%81%8F%E3%81%9F%E3%81%B3%E3%82%8C%E3%82%8B
w_901baf132bb76fff,N3,乗り越す,のりこす,"타고 가다가 지나치다, →のりこえる",naver-level-missing,naver_level_missing,,,,match,N3,乗(り)越す,,,naver,surface,酔い潰れて終点まで乗り越す,,,https://ja.dict.naver.com/#/search?query=%E4%B9%97%E3%82%8A%E8%B6%8A%E3%81%99
w_4e51e8951d15d3dc,N3,いっぱんに,いっぱんに,대체로;일반적으로,example-headword-missing,match,N3,,%E3%81%84%E3%81%A3%E3%81%B1%E3%82%93%E3%81%AB,,,,,,naver,missing,一般に「蒲焼」といえば「ウナギの蒲焼」を指すことが多いです。,,대체로;일반적으로,https://ja.dict.naver.com/#/search?query=%E3%81%84%E3%81%A3%E3%81%B1%E3%82%93%E3%81%AB
w_becbe89dce937f34,N2,行ってきます,いってきます,다녀오겠습니다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,ちょっとトイレ行ってきます。,,,https://ja.dict.naver.com/#/search?query=%E8%A1%8C%E3%81%A3%E3%81%A6%E3%81%8D%E3%81%BE%E3%81%99
w_9462c592fc28b4a7,N2,女の人,おんなのひと,여자,level-mismatch;level-mismatch-confirmed,mismatch,N5,女の人,%E3%81%8A%E3%82%93%E3%81%AA%E3%81%AE%E3%81%B2%E3%81%A8,mismatch,N5,女の人,,,naver,surface,イ：見た？あの女の人が私に少し笑いをこぼしていった。,,여자,https://ja.dict.naver.com/#/search?query=%E5%A5%B3%E3%81%AE%E4%BA%BA
w_5774ff04f7f580b5,N2,お願いします,おねがいします,"부디, 제발(직역 나 요청, 부탁)",level-mismatch;level-mismatch-confirmed,mismatch,N5,お願いします,%E3%81%8A%E3%81%AD%E3%81%8C%E3%81%84%E3%81%97%E3%81%BE%E3%81%99,mismatch,N5,お願いします,,,naver,surface,伝言をお願いします。,,부탁드립니다;부탁합니다,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E9%A1%98%E3%81%84%E3%81%97%E3%81%BE%E3%81%99
w_213905929b42e976,N2,始めに,はじめに,"일을 시작할 때, 시작 부분에",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,今年は我が家が村で一番始めに種をまいた.,,,https://ja.dict.naver.com/#/search?query=%E5%A7%8B%E3%82%81%E3%81%AB
w_3ab16e565cd75205,N2,絶対に,ぜったいに,절대로,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,絶対に負けないと豪語する.,,,https://ja.dict.naver.com/#/search?query=%E7%B5%B6%E5%AF%BE%E3%81%AB
w_7be7b280d00ddd2e,N2,その頃,そのころ,"그 무렵, 그때",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,reading,そのころ，私の声は今より一オクターブぐらい高くて，本当にかわいらしい感じで歌いました,,,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%AE%E9%A0%83
w_2903ad5dfafa9ef5,N2,そう言えば,そういえば,"그러고 보니, 말하자면",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,そう言えば·然う言えば,,,naver,reading,ロ：古くなったからかな。そういえば弾力が感じられない。,,,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%86%E8%A8%80%E3%81%88%E3%81%B0
w_938608c46fd00ac2,N2,確かだ,たしかだ,확실하다,naver-level-missing;example-headword-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=確か suffix=だ,naver,missing,ほぼ確の情報,,,https://ja.dict.naver.com/#/search?query=%E7%A2%BA%E3%81%8B%E3%81%A0
w_4fd11cf4f5345777,N2,お大事に,おだいじに,"몸조심하세요, 쾌차하세요",naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N4,お大事に·御大事に,,,naver,surface,くれぐれも[どうぞ]、お大事に,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%A4%A7%E4%BA%8B%E3%81%AB
w_2042955fbd7ed6b5,N2,話し中,はなしちゅう,통화 중,level-mismatch;level-mismatch-confirmed,mismatch,N3,話し中,%E3%81%AF%E3%81%AA%E3%81%97%E3%81%A1%E3%82%85%E3%81%86,mismatch,N3,話し中,,,self,surface,電話をかけたが、相手は話し中だった。,,한창 이야기하고 있는 중;면담 중;통화 중,https://ja.dict.naver.com/#/search?query=%E8%A9%B1%E3%81%97%E4%B8%AD
w_909e868e3f108baa,N2,残念だ,ざんねんだ,유감이다,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,残念だ,derived-form,base=残念 suffix=だ,naver,surface,会えなくて残念だ,,,https://ja.dict.naver.com/#/search?query=%E6%AE%8B%E5%BF%B5%E3%81%A0
w_f6461fe50fbc18a7,N2,その他,そのほか,"그 외, 그 밖",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,彼は与えられた通りに働くばかりで、その他には何も知らない素人の下男だった。,,,https://ja.dict.naver.com/#/search?query=%E3%81%9D%E3%81%AE%E4%BB%96
w_4948be9f9aed94b0,N2,何々,なになに,"그런, 이러한 그런, 이러한, 무엇",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,self,surface,箱の中に何々を入れたか、順番に説明してください。,,,https://ja.dict.naver.com/#/search?query=%E4%BD%95%E3%80%85
w_4d3a36e26a851fda,N2,保護者,ほごしゃ,보호자,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,保護者,,,naver,surface,保護者ないしはそれに準ずるもの,,,https://ja.dict.naver.com/#/search?query=%E4%BF%9D%E8%AD%B7%E8%80%85
w_e421aae9647d50d9,N2,危険だ,きけんだ,위험하다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=危険 suffix=だ,naver,surface,騒ぎ立てない人は危険だ。,,,https://ja.dict.naver.com/#/search?query=%E5%8D%B1%E9%99%BA%E3%81%A0
w_7d3d19122f39f85d,N2,明らかだ,あきらかだ,"명백하다,뚜렷하다",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=明らか suffix=だ,naver,surface,薬の効き目が明らかだ.,,,https://ja.dict.naver.com/#/search?query=%E6%98%8E%E3%82%89%E3%81%8B%E3%81%A0
w_9ef6ae47fbeea384,N2,勝手だ,かってだ,제멋대로다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=勝手 suffix=だ,naver,surface,自分勝手だ; 自ままだ,,,https://ja.dict.naver.com/#/search?query=%E5%8B%9D%E6%89%8B%E3%81%A0
w_d760d012aa3df7a5,N2,勝手に,かってに,"제멋대로, 마음대로",naver-level-missing,naver_level_missing,,,,search_no_jlpt,,勝手に,,,naver,surface,勝手に発言して会議をかき回した,,,https://ja.dict.naver.com/#/search?query=%E5%8B%9D%E6%89%8B%E3%81%AB
w_cbaa90d9cde4ed8e,N2,別々,べつべつ,따로따로,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,別々に包装してください。,,,https://ja.dict.naver.com/#/search?query=%E5%88%A5%E3%80%85
w_bd727591cdd86a06,N2,無駄だ,むだだ,"쓸데없다,허비하다",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=無駄 suffix=だ,naver,stem,このようなスクラムは譲れないが、追うチームの立場では時間を無駄に使いたくない時だ。,,,https://ja.dict.naver.com/#/search?query=%E7%84%A1%E9%A7%84%E3%81%A0
w_3ee09f596d4c7b39,N2,郡,ぐん,군(행정구역),naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N1,郡,,,naver,surface,昔そこは郡庁だったんだよ,,,https://ja.dict.naver.com/#/search?query=%E9%83%A1
w_a844546befebc416,N2,新ただ,あらただ,새롭다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=新た suffix=だ,naver,stem,新たなBIS規制が施行される,,,https://ja.dict.naver.com/#/search?query=%E6%96%B0%E3%81%9F%E3%81%A0
w_947ee10c7c753bf7,N2,同様だ,どうようだ,"다름없다,마찬가지다",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=同様 suffix=だ,naver,surface,守銭奴はお金が多くても生産的に活用しないので乞食と同様だ。,,,https://ja.dict.naver.com/#/search?query=%E5%90%8C%E6%A7%98%E3%81%A0
w_39dd02a5b61887c0,N2,様々,さまざま,여러가지,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,,,naver,surface,押し寿司には、地域によって様々なものがあります。,,,https://ja.dict.naver.com/#/search?query=%E6%A7%98%E3%80%85
w_272e0931b59a9581,N2,申し訳ない,もうしわけない,죄송하다,naver-level-missing;level-mismatch-confirmed,naver_level_missing,,,,mismatch,N3,申し訳ない,,,naver,surface,両親に申し訳ない。,,,https://ja.dict.naver.com/#/search?query=%E7%94%B3%E3%81%97%E8%A8%B3%E3%81%AA%E3%81%84
w_0145c52bf4cc5814,N2,お帰り,おかえり,(어서) 돌아옴; 어서 와요,naver-level-missing,naver_level_missing,,,,search_no_jlpt,,お帰り,,,naver,surface,家に帰って来ても‘お帰り'と言ってくれる人がいない,,,https://ja.dict.naver.com/#/search?query=%E3%81%8A%E5%B8%B0%E3%82%8A
w_07d6a6a90e27f147,N2,維持する,いじする,유지하다,naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=維持 suffix=する,naver,surface,社会の安寧を維持する.,,,https://ja.dict.naver.com/#/search?query=%E7%B6%AD%E6%8C%81%E3%81%99%E3%82%8B
w_bafcd079b8e69d45,N2,不思議だ,ふしぎだ,"이상하다,불가사의하다",naver-level-missing;naver-search-unmatched,naver_level_missing,,,,search_unmatched,,,derived-form,base=不思議 suffix=だ,naver,surface,心が不思議だ。,,,https://ja.dict.naver.com/#/search?query=%E4%B8%8D%E6%80%9D%E8%AD%B0%E3%81%A0
