literal,meanings_ko,meanings_en,onyomi,kunyomi,radical,radical_name_ko,radical_number,stroke_count,source,source_url,license,qa_status,data_version,qa_note
憲,"[""헌법"",""법""]","[""constitution"",""law""]","[""ケン""]",[],心,마음 심,61,16,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
懸,"[""걸다"",""매달리다""]","[""state of suspension"",""hang"",""depend"",""consult"",""distant"",""far apart""]","[""ケン"",""ケ""]","[""か.ける"",""か.かる""]",心,마음 심,61,20,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
検,"[""검사"",""조사하다""]","[""examination"",""investigate""]","[""ケン""]","[""しら.べる""]",木,나무 목,75,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
権,"[""권리"",""권력""]","[""authority"",""power"",""rights""]","[""ケン"",""ゴン""]","[""おもり"",""かり"",""はか.る""]",木,나무 목,75,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
犬,"[""개""]","[""dog""]","[""ケン""]","[""いぬ"",""いぬ-""]",犬,개 견,94,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
献,"[""바치다"",""헌상""]","[""offering"",""counter for drinks"",""present"",""offer""]","[""ケン"",""コン""]","[""たてまつ.る""]",犬,개 견,94,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
研,"[""갈다"",""닦다""]","[""polish"",""study of"",""sharpen""]","[""ケン""]","[""と.ぐ""]",石,돌 석,112,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
絹,"[""비단"",""실크""]","[""silk""]","[""ケン""]","[""きぬ""]",糸,실 사,120,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
県,"[""현""]","[""prefecture""]","[""ケン""]","[""か.ける""]",目,눈 목,109,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
肩,"[""어깨""]","[""shoulder""]","[""ケン""]","[""かた""]",肉,고기 육,130,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
見,"[""보다""]","[""see"",""hopes"",""chances"",""idea"",""opinion"",""look at"",""visible""]","[""ケン""]","[""み.る"",""み.える"",""み.せる""]",見,볼 견,147,7,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
謙,"[""겸손""]","[""self-effacing"",""humble oneself"",""condescend"",""be modest""]","[""ケン""]","[""へりくだ.る""]",言,말씀 언,149,17,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
賢,"[""똑똑하다""]","[""intelligent"",""wise"",""wisdom"",""cleverness""]","[""ケン""]","[""かしこ.い""]",貝,조개 패,154,16,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
軒,"[""처마"",""집 세는 단위""]","[""flats"",""counter for houses"",""eaves""]","[""ケン""]","[""のき""]",車,수레 거,159,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
遣,"[""보내다"",""주다""]","[""dispatch"",""despatch"",""send"",""give"",""donate"",""do"",""undertake""]","[""ケン""]","[""つか.う"",""-つか.い"",""-づか.い"",""つか.わす"",""や.る""]",辵,책받침 착,162,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
鍵,"[""열쇠""]","[""key""]","[""ケン""]","[""かぎ""]",金,쇠 금,167,17,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
険,"[""험하다""]","[""precipitous"",""inaccessible place"",""impregnable position"",""steep place"",""sharp eyes""]","[""ケン""]","[""けわ.しい""]",阜,언덕 부,170,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
顕,"[""나타나다"",""드러남""]","[""appear"",""existing""]","[""ケン""]","[""あきらか"",""あらわ.れる""]",頁,머리 혈,181,18,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
験,"[""시험"",""검증"",""효험""]","[""verification"",""effect"",""testing""]","[""ケン"",""ゲン""]","[""あかし"",""しるし"",""ため.す"",""ためし""]",馬,말 마,187,18,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
元,"[""근원"",""이전"",""전(前)""]","[""beginning"",""former time"",""origin""]","[""ゲン"",""ガン""]","[""もと""]",儿,어진사람 인,10,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
原,"[""들판"",""근원"",""원래""]","[""meadow"",""original"",""primitive"",""field"",""plain"",""prairie"",""tundra"",""wilderness""]","[""ゲン""]","[""はら""]",厂,기슭 엄,27,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
厳,"[""엄숙함"",""장엄함""]","[""stern"",""strictness"",""severity"",""rigidity""]","[""ゲン"",""ゴン""]","[""おごそ.か"",""きび.しい"",""いか.めしい"",""いつくし""]",厂,기슭 엄,27,17,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
減,"[""줄다"",""감소하다""]","[""dwindle"",""decrease"",""reduce"",""decline"",""curtail"",""get hungry""]","[""ゲン""]","[""へ.る"",""へ.らす""]",水,물 수,85,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
源,"[""근원"",""원천""]","[""source"",""origin""]","[""ゲン""]","[""みなもと""]",水,물 수,85,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
玄,"[""검다"",""깊고 오묘함""]","[""mysterious"",""occultness"",""black"",""deep"",""profound""]","[""ゲン""]","[""くろ"",""くろ.い""]",玄,검을 현,95,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
現,"[""표현"",""표시"",""징후""]","[""present"",""existing"",""actual""]","[""ゲン""]","[""あらわ.れる"",""あらわ.す"",""うつつ"",""うつ.つ""]",玉,구슬 옥,96,11,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
言,"[""말하다""]","[""say"",""word""]","[""ゲン"",""ゴン""]","[""い.う"",""こと""]",言,말씀 언,149,7,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
限,"[""한계"",""제한하다""]","[""limit"",""restrict"",""to best of ability""]","[""ゲン""]","[""かぎ.る"",""かぎ.り"",""-かぎ.り""]",阜,언덕 부,170,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,10,Human-reviewed 2026-08-22: KANJIDIC English + JLPT usage cross-check; semantic-review draft confirmed.
個,"[""개별"",""개""]","[""individual"",""counter for articles""]","[""コ"",""カ""]",[],人,사람 인,9,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
古,"[""오래되다"",""낡다""]","[""old""]","[""コ""]","[""ふる.い"",""ふる-"",""-ふる.す""]",口,입 구,30,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
呼,"[""부르다""]","[""call"",""call out to"",""invite""]","[""コ""]","[""よ.ぶ""]",口,입 구,30,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
固,"[""굳고 단단하다"",""완고하다""]","[""harden"",""set"",""clot"",""curdle""]","[""コ""]","[""かた.める"",""かた.まる"",""かた.まり"",""かた.い""]",囗,큰입구 국,31,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
孤,"[""외롭다"",""고아""]","[""orphan"",""alone""]","[""コ""]",[],子,아들 자,39,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
己,"[""자기"",""자신""]","[""self""]","[""コ"",""キ""]","[""おのれ"",""つちのと"",""な""]",己,몸 기,49,3,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,2,Human-reviewed 2026-08-19: KANJIDIC meanings and linked release vocabulary cross-checked.
庫,"[""창고""]","[""warehouse"",""storehouse""]","[""コ"",""ク""]","[""くら""]",广,엄호 엄,53,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
弧,"[""호"",""활꼴""]","[""arc"",""arch"",""bow""]","[""コ""]",[],弓,활 궁,57,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
戸,"[""문"",""집""]","[""door"",""counter for houses"",""door radical (no. 63)""]","[""コ""]","[""と""]",戶,지게 호,63,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
故,"[""까닭"",""이유""]","[""happenstance"",""especially"",""intentionally"",""reason"",""cause"",""circumstances"",""the late"",""therefore"",""consequently""]","[""コ""]","[""ゆえ"",""ふる.い"",""もと""]",攴,둥글월 문,66,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
枯,"[""시들다""]","[""wither"",""die"",""dry up"",""be seasoned""]","[""コ""]","[""か.れる"",""か.らす""]",木,나무 목,75,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
湖,"[""호수""]","[""lake""]","[""コ""]","[""みずうみ""]",水,물 수,85,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
糊,"[""풀(접착제)""]","[""paste"",""glue"",""sizing""]","[""コ"",""ゴ"",""コツ""]","[""のり""]",米,쌀 미,119,15,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
股,"[""사타구니"",""허벅지 안쪽""]","[""thigh"",""crotch""]","[""コ""]","[""また"",""もも""]",肉,고기 육,130,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
胡,"[""오랑캐"",""외국""]","[""barbarian"",""foreign""]","[""ウ"",""コ"",""ゴ""]","[""なんぞ""]",肉,고기 육,130,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
虎,"[""호랑이""]","[""tiger"",""drunkard""]","[""コ""]","[""とら""]",虍,범 호,141,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,2,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
誇,"[""자랑하다""]","[""boast"",""be proud"",""pride"",""triumphantly""]","[""コ""]","[""ほこ.る""]",言,말씀 언,149,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
跨,"[""넘다"",""걸터넘다""]","[""be"",""sit or stand astride"",""extend over"",""straddle""]","[""コ"",""カ""]","[""また.がる"",""またが.る"",""また.ぐ""]",足,발 족,157,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
雇,"[""고용하다""]","[""employ"",""hire""]","[""コ""]","[""やと.う""]",隹,새 추,172,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
顧,"[""돌아보다"",""회고하다""]","[""look back"",""review"",""examine oneself"",""turn around""]","[""コ""]","[""かえり.みる""]",頁,머리 혈,181,21,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
鼓,"[""북"",""고무하다""]","[""drum"",""beat"",""rouse"",""muster""]","[""コ""]","[""つづみ""]",鼓,북 고,207,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
五,"[""다섯"",""다섯 개""]","[""five""]","[""ゴ""]","[""いつ"",""いつ.つ""]",二,두 이,7,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
互,"[""서로""]","[""mutually"",""reciprocally"",""together""]","[""ゴ""]","[""たが.い"",""かたみ.に""]",二,두 이,7,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
午,"[""낮"",""오시""]","[""noon"",""sign of the horse"",""11AM-1PM"",""seventh sign of Chinese zodiac""]","[""ゴ""]","[""うま""]",十,열 십,24,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
娯,"[""오락"",""즐거움""]","[""recreation"",""pleasure""]","[""ゴ""]",[],女,계집 녀,38,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
後,"[""뒤"",""나중""]","[""behind"",""back"",""later""]","[""ゴ"",""コウ""]","[""のち"",""うし.ろ"",""うしろ"",""あと"",""おく.れる""]",彳,두인변 척,60,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
御,"[""존경"",""다스리다""]","[""honorable"",""manipulate"",""govern""]","[""ギョ"",""ゴ""]","[""おん-"",""お-"",""み-""]",彳,두인변 척,60,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
悟,"[""깨닫다""]","[""enlightenment"",""perceive"",""discern"",""realize"",""understand""]","[""ゴ""]","[""さと.る""]",心,마음 심,61,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
碁,"[""바둑""]","[""Go""]","[""ゴ""]",[],石,돌 석,112,13,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
語,"[""말하다""]","[""word"",""speech"",""language""]","[""ゴ""]","[""かた.る"",""かた.らう""]",言,말씀 언,149,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
誤,"[""잘못"",""실수""]","[""mistake"",""err"",""do wrong"",""mislead""]","[""ゴ""]","[""あやま.る"",""-あやま.る""]",言,말씀 언,149,14,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
護,"[""지키다"",""보호하다""]","[""safeguard"",""protect""]","[""ゴ""]","[""まも.る""]",言,말씀 언,149,20,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
交,"[""교환하다""]","[""mingle"",""mixing"",""association"",""coming & going""]","[""コウ""]","[""まじ.わる"",""まじ.える"",""ま.じる"",""まじ.る"",""ま.ざる"",""ま.ぜる"",""-か.う"",""か.わす"",""かわ.す"",""こもごも""]",亠,돼지해머리 두,8,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
候,"[""기후"",""계절"",""기다리다""]","[""climate"",""season"",""weather"",""wait for"",""expect""]","[""コウ""]","[""そうろう""]",人,사람 인,9,10,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
光,"[""빛""]","[""ray"",""light""]","[""コウ""]","[""ひか.る"",""ひかり""]",儿,어진사람 인,10,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
公,"[""공(公)"",""공적임""]","[""public"",""prince"",""official"",""governmental""]","[""コウ"",""ク""]","[""おおやけ""]",八,여덟 팔,12,4,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
功,"[""공적"",""성공""]","[""achievement"",""merits"",""success"",""honor"",""credit""]","[""コウ"",""ク""]","[""いさお""]",力,힘 력,19,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
効,"[""효과가 있다"",""듣다""]","[""merit"",""efficacy"",""efficiency"",""benefit""]","[""コウ""]","[""き.く"",""ききめ"",""なら.う""]",力,힘 력,19,8,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
厚,"[""두껍다""]","[""thick"",""heavy"",""rich"",""kind"",""cordial"",""brazen"",""shameless""]","[""コウ""]","[""あつ.い"",""あか""]",厂,기슭 엄,27,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
口,"[""입""]","[""mouth""]","[""コウ"",""ク""]","[""くち""]",口,입 구,30,3,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
向,"[""향하다"",""마주하다""]","[""yonder"",""facing"",""beyond"",""confront"",""defy"",""tend toward"",""approach""]","[""コウ""]","[""む.く"",""む.い"",""-む.き"",""む.ける"",""-む.け"",""む.かう"",""む.かい"",""む.こう"",""む.こう-"",""むこ"",""むか.い""]",口,입 구,30,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,verified,10,Human-reviewed 2026-08-22: KANJIDIC English + JLPT usage cross-check; semantic-review draft confirmed.
喉,"[""목(구멍)""]","[""throat"",""voice""]","[""コウ""]","[""のど""]",口,입 구,30,12,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
垢,"[""때"",""오물""]","[""dirt"",""grime"",""earwax""]","[""コウ"",""ク""]","[""あか"",""はじ""]",土,흙 토,32,9,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
好,"[""좋아함""]","[""fond"",""pleasing"",""like something""]","[""コウ""]","[""この.む"",""す.く"",""よ.い"",""い.い""]",女,계집 녀,38,6,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
孝,"[""효도""]","[""filial piety"",""child's respect""]","[""コウ"",""キョウ""]",[],子,아들 자,39,7,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
工,"[""공예"",""공사""]","[""craft"",""construction"",""katakana e radical (no. 48)""]","[""コウ"",""ク"",""グ""]",[],工,장인 공,48,3,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
巧,"[""교묘함"",""솜씨 좋음""]","[""adroit"",""skilled"",""ingenuity""]","[""コウ""]","[""たく.み"",""たく.む"",""うま.い""]",工,장인 공,48,5,kanjidic2,https://www.edrdg.org/kanjidic/kanjidic2.xml.gz,CC BY-SA 4.0,auto,1,Auto draft: KANJIDIC2 readings/radical; Korean meaning draft derived from local Korean word gloss or curated KANJIDIC English fallback.
