literal,highest_severity,checks,details,meanings_ko,meanings_en,onyomi,kunyomi,radical,radical_name_ko,radical_number,stroke_count,qa_status,linked_word_count,linked_word_examples
射,review,manual_review_required,,"[""(빛이) 비치다""]","[""shoot"",""shine into"",""onto"",""archery""]","[""シャ""]","[""い.る"",""さ.す"",""う.つ""]",寸,마디 촌,41,10,auto,3,注射/ちゅうしゃ:주사 || 放射/ほうしゃ:방사 || 放射能/ほうしゃのう:방사능
将,review,manual_review_required,,"[""장수"",""장차""]","[""leader"",""commander"",""general"",""admiral"",""or"",""and again"",""soon"",""from now on"",""just about""]","[""ショウ"",""ソウ""]","[""まさ.に"",""はた"",""まさ"",""ひきい.る"",""もって""]",寸,마디 촌,41,10,auto,2,"将来/しょうらい:장래, 미래 || 将棋/しょうぎ:장기(일본 장기)"
尊,review,manual_review_required,,"[""소중하다"",""존귀하다""]","[""revered"",""valuable"",""precious"",""noble"",""exalted""]","[""ソン""]","[""たっと.い"",""とうと.い"",""たっと.ぶ"",""とうと.ぶ""]",寸,마디 촌,41,12,auto,5,"尊敬/そんけい:존경 || 尊重/そんちょう:존중 || 尊い/とうとい:소중하다, 존귀하다 || 自尊心/じそんしん:자존심 || 尊ぶ/とうとぶ:공경하다, 존중하다"
尋,review,manual_review_required,,"[""묻다"",""질문하다""]","[""inquire"",""fathom"",""look for""]","[""ジン""]","[""たず.ねる"",""ひろ""]",寸,마디 촌,41,12,auto,1,"尋ねる/たずねる:묻다, 질문하다"
導,review,manual_review_required,,"[""이끌다"",""인도하다""]","[""guidance"",""leading"",""conduct"",""usher""]","[""ドウ""]","[""みちび.く""]",寸,마디 촌,41,15,auto,5,"指導/しどう:지도 || 導入/どうにゅう:도입 || 誘導/ゆうどう:유도, 이끎 || 主導/しゅどう:주도 || 導く/みちびく:이끌다, 인도하다"
小,review,manual_review_required,,"[""작은""]","[""little"",""small""]","[""ショウ""]","[""ちい.さい"",""こ-"",""お-"",""さ-""]",小,작을 소,42,3,auto,21,"小さい/ちいさい:(크기가) 작다 || 小父さん/おじさん:아저씨 || 小説/しょうせつ:소설 || 小学校/しょうがっこう:초등학교 || 小鳥/ことり:작은 새 || 縮小/しゅくしょう:축소 || 小指/こゆび:새끼손가락 || 小包/こづつみ:소포, 꾸러미"
少,review,manual_review_required,,"[""조금"",""약간""]","[""few"",""little""]","[""ショウ""]","[""すく.ない"",""すこ.し""]",小,작을 소,42,4,auto,10,"少し/すこし:조금, 약간 || 少ない/すくない:적다 || 少しも/すこしも:조금도 (~않다) || 少女/しょうじょ:소녀 || 少年/しょうねん:소년 || 少なくとも/すくなくとも:적어도 || 多少/たしょう:다소 || 少々/しょうしょう:조금, 잠시"
尖,review,manual_review_required,,"[""뾰족해지다"",""날카로워지다""]","[""be pointed"",""sharp"",""taper"",""displeased"",""angry"",""edgy""]","[""セン""]","[""とが.る"",""さき"",""するど.い""]",小,작을 소,42,6,auto,1,"尖る/とがる:뾰족해지다, 날카로워지다"
尚,review,manual_review_required,,"[""오히려"",""존중하다""]","[""esteem"",""furthermore"",""still"",""yet""]","[""ショウ""]","[""なお""]",小,작을 소,42,8,auto,1,高尚/こうしょう:고상함
尤,review,manual_review_required,,"[""지당함"",""당연함""]","[""reasonable"",""just"",""natural"",""superb"",""outstanding"",""plausible""]","[""ユウ""]","[""もっと.も"",""とが.める""]",尢,절름발이 왕,43,4,auto,1,"尤も/もっとも:지당함, 당연함"
就,review,manual_review_required,,"[""(지위에)오르다"",""취임하다""]","[""concerning"",""settle"",""take position"",""depart"",""study"",""per""]","[""シュウ"",""ジュ""]","[""つ.く"",""つ.ける""]",尢,절름발이 왕,43,12,auto,4,"就職/しゅうしょく:취직 || 就任/しゅうにん:취임 || 就く/つく:(지위에)오르다,취임하다 || 就業/しゅうぎょう:취업, 근무"
尻,review,manual_review_required,,"[""엉덩이""]","[""buttocks"",""hips"",""butt"",""rear""]","[""コウ""]","[""しり""]",尸,주검 시,44,5,auto,3,お尻/おしり:엉덩이 || 尻/しり:엉덩이 || 尻尾/しっぽ:꼬리
尽,review,manual_review_required,,"[""다하다"",""떨어지다""]","[""exhaust"",""use up"",""run out of"",""deplete"",""befriend"",""serve""]","[""ジン"",""サン""]","[""つ.きる"",""つ.くす"",""つ.かす"",""-づ.く"",""-ず.く"",""ことごと.く""]",尸,주검 시,44,6,auto,2,"尽きる/つきる:다하다, 떨어지다 || 尽くす/つくす:애쓰다,있는힘을다하다"
尾,review,manual_review_required,,"[""꼬리""]","[""tail"",""end"",""counter for fish"",""lower slope of mountain""]","[""ビ""]","[""お""]",尸,주검 시,44,7,auto,2,尻尾/しっぽ:꼬리 || 尾/お:꼬리
尿,review,manual_review_required,,"[""소변""]","[""urine""]","[""ニョウ""]","[""ゆばり"",""いばり"",""しと""]",尸,주검 시,44,7,auto,1,尿/にょう:소변
局,review,manual_review_required,,"[""(방송)국"",""부서""]","[""bureau"",""board"",""office"",""affair"",""conclusion"",""court lady"",""lady-in-waiting"",""her apartment""]","[""キョク""]","[""つぼね""]",尸,주검 시,44,7,auto,3,"結局/けっきょく:결국 || 薬局/やっきょく:약국 || 局/きょく:(방송)국, 부서"
居,review,manual_review_required,,"[""있다""]","[""reside"",""to be"",""exist"",""live with""]","[""キョ"",""コ""]","[""い.る"",""-い"",""お.る""]",尸,주검 시,44,8,auto,10,"住居/じゅうきょ:주거, 거처 || 居眠り/いねむり:졸음, 졸기 || 居酒屋/いざかや:이자카야, 선술집 || 芝居/しばい:연극, 연기 || 居住/きょじゅう:거주 || 同居/どうきょ:동거, 한집에 삶 || 鳥居/とりい:도리이, 신사 문 || 転居/てんきょ:이사, 거처 옮김"
屈,review,manual_review_required,,"[""굽히다"",""굴복하다""]","[""yield"",""bend"",""flinch"",""submit""]","[""クツ""]","[""かが.む"",""かが.める""]",尸,주검 시,44,8,auto,3,"退屈/たいくつ:지루함 || 理屈/りくつ:이치, 논리 || 窮屈/きゅうくつ:갑갑함, 거북함"
届,review,manual_review_required,,"[""신고(서)""]","[""deliver"",""reach"",""arrive"",""report"",""notify"",""forward""]","[""カイ""]","[""とど.ける"",""-とど.け"",""とど.く""]",尸,주검 시,44,8,auto,4,"届く/とどく:닿다, 도착하다 || 届ける/とどける:보내다, 배달하다, (관청 등에) 신고하다 || 届/とどけ:신고(서) || 行き届く/ゆきとどく:구석구석 빈틈없이 미치다"
屋,review,manual_review_required,,"[""집"",""가게"",""지붕""]","[""roof"",""house"",""shop"",""dealer"",""seller""]","[""オク""]","[""や""]",尸,주검 시,44,9,auto,11,"部屋/へや:방 || 本屋/ほんや:책방, 서점 || 屋上/おくじょう:옥상 || 床屋/とこや:이발사(가게) || 屋外/おくがい:옥외, 야외 || 屋内/おくない:옥내;집의 안;실내 || 屋根/やね:지붕 || 居酒屋/いざかや:이자카야, 선술집"
屑,review,manual_review_required,,"[""부스러기"",""쓰레기""]","[""rubbish"",""junk"",""trash"",""waste"",""scraps""]","[""セツ""]","[""くず"",""いさぎよ.い""]",尸,주검 시,44,10,auto,2,"屑/くず:부스러기, 쓰레기 || 紙屑/かみくず:휴지, 종이 쓰레기"
展,review,manual_review_required,,"[""펼치다"",""전개""]","[""unfold"",""expand""]","[""テン""]",[],尸,주검 시,44,10,auto,6,"展覧会/てんらんかい:전시 || 展示/てんじ:전시 || 発展/はってん:발전 || 展開/てんかい:전개 || 進展/しんてん:진전 || 展望/てんぼう:관점, 전망"
属,review,manual_review_required,,"[""속하다""]","[""belong"",""genus"",""subordinate official"",""affiliated""]","[""ゾク"",""ショク""]","[""さかん"",""つく"",""やから""]",尸,주검 시,44,12,auto,6,"金属/きんぞく:금속 || 付属/ふぞく:부속, 소속 || 属する/ぞくする:속하다 || 所属/しょぞく:소속 || 配属/はいぞく:배속 || 従属/じゅうぞく:종속"
層,review,manual_review_required,,"[""층"",""계층""]","[""stratum"",""social class"",""layer"",""story"",""floor""]","[""ソウ""]",[],尸,주검 시,44,14,auto,3,"高層/こうそう:고층 || 階層/かいそう:계층 || 大層/たいそう:매우 많은, 크게"
履,review,manual_review_required,,"[""(바지를) 입다"",""(신발·양말을) 신다""]","[""perform"",""complete"",""footgear"",""shoes"",""boots"",""put on (the feet)""]","[""リ""]","[""は.く""]",尸,주검 시,44,15,auto,4,"履く/はく:(바지를) 입다, (신발·양말을) 신다 || 履歴書/りれきしょ:이력서 || 草履/ぞうり:일본식 짚신(조리) || 履歴/りれき:이력"
山,review,manual_review_required,,"[""산""]","[""mountain""]","[""サン"",""セン""]","[""やま""]",山,뫼 산,46,3,auto,9,山/やま:산 || 沢山/たくさん:많이 || 登山/とざん:등산 || 火山/かざん:화산 || 山林/さんりん:산 숲 || 鉱山/こうざん:광산 || 山岳/さんがく:산악 || 山脈/さんみゃく:산맥
岐,review,manual_review_required,,"[""갈림길"",""갈라지다""]","[""branch off"",""fork in road"",""scene"",""arena"",""theater""]","[""キ"",""ギ""]",[],山,뫼 산,46,7,auto,1,"多岐/たき:다기,다방면"
岩,review,manual_review_required,,"[""바위""]","[""boulder"",""rock"",""cliff""]","[""ガン""]","[""いわ""]",山,뫼 산,46,8,auto,3,"岩/いわ:바위 || 溶岩/ようがん:용암 || 岩石/がんせき:바위, 암석"
岬,review,manual_review_required,,"[""곶"",""갑""]","[""headland"",""cape"",""spit"",""promontory""]","[""コウ""]","[""みさき""]",山,뫼 산,46,8,auto,1,"岬/みさき:곶, 갑"
岳,review,manual_review_required,,"[""산"",""봉우리""]","[""point"",""peak"",""mountain""]","[""ガク""]","[""たけ""]",山,뫼 산,46,8,auto,1,山岳/さんがく:산악
岸,review,manual_review_required,,"[""기슭"",""물가"",""해안""]","[""beach""]","[""ガン""]","[""きし""]",山,뫼 산,46,8,auto,2,"海岸/かいがん:해안, 해변 || 沿岸/えんがん:해안"
峠,review,manual_review_required,,"[""고개"",""산길""]","[""mountain peak"",""mountain pass"",""climax"",""crest"",""(kokuji)""]",[],"[""とうげ""]",山,뫼 산,46,9,auto,1,"峠/とうげ:고개, 산길"
峡,review,manual_review_required,,"[""협곡""]","[""gorge"",""ravine""]","[""キョウ"",""コウ""]","[""はざま""]",山,뫼 산,46,9,auto,1,海峡/かいきょう:해협
峰,review,manual_review_required,,"[""봉우리"",""산등성이""]","[""summit"",""peak""]","[""ホウ""]","[""みね"",""ね""]",山,뫼 산,46,10,auto,1,"峰/みね:봉우리, 산등성이"
島,review,manual_review_required,,"[""섬""]","[""island""]","[""トウ""]","[""しま""]",山,뫼 산,46,10,auto,3,島/しま:섬 || 半島/はんとう:반도 || 列島/れっとう:열도
崇,review,manual_review_required,,"[""숭배하다"",""높이다""]","[""adore"",""respect"",""revere"",""worship""]","[""スウ""]","[""あが.める""]",山,뫼 산,46,11,auto,1,崇拝/すうはい:숭배
崖,review,manual_review_required,,"[""절벽""]","[""cliff"",""bluff"",""precipice""]","[""ガイ"",""ゲ"",""ギ""]","[""がけ"",""きし"",""はて""]",山,뫼 산,46,11,auto,1,崖/がけ:절벽
崩,review,manual_review_required,,"[""무너뜨리다"",""흩뜨리다""]","[""crumble"",""die"",""demolish"",""level""]","[""ホウ""]","[""くず.れる"",""-くず.れ"",""くず.す""]",山,뫼 산,46,11,auto,4,"崩れる/くずれる:무너지다,쓰러지다 || 崩す/くずす:무너뜨리다,흩뜨리다 || 崩壊/ほうかい:붕괴 || 雪崩/なだれ:눈사태"
嵐,review,manual_review_required,,"[""폭풍""]","[""storm"",""tempest""]","[""ラン""]","[""あらし""]",山,뫼 산,46,12,auto,1,嵐/あらし:폭풍
川,review,manual_review_required,,"[""강""]","[""stream"",""river"",""river or three-stroke river radical (no. 47)""]","[""セン""]","[""かわ""]",巛,개미허리 천,47,3,auto,2,川/かわ:강 || 河川/かせん:강
州,review,manual_review_required,,"[""주"",""지방""]","[""state"",""province""]","[""シュウ"",""ス""]","[""す""]",巛,개미허리 천,47,6,auto,1,"州/しゅう:주, 지방"
巡,review,manual_review_required,,"[""돌다"",""순회하다""]","[""patrol"",""go around"",""circumference""]","[""ジュン""]","[""めぐ.る"",""めぐ.り""]",巛,개미허리 천,47,6,auto,3,"巡る/めぐる:돌다, 순회하다 || 巡査/じゅんさ:순경 || 巡り/めぐり:순회"
工,review,manual_review_required,,"[""공예"",""공사""]","[""craft"",""construction"",""katakana e radical (no. 48)""]","[""コウ"",""ク"",""グ""]",[],工,장인 공,48,3,auto,16,"工事/こうじ:건설, 구조 일하다, 작동하다 || 工場/こうじょう:공장 || 工場/こうば:공장 || 工業/こうぎょう:공업 || 工学/こうがく:공학 || 加工/かこう:가공 || 人工/じんこう:인공 || 工夫/くふう:고안,궁리"
左,review,manual_review_required,,"[""왼쪽""]","[""left""]","[""サ"",""シャ""]","[""ひだり""]",工,장인 공,48,5,auto,3,左/ひだり:왼쪽 || 左折/させつ:좌회전;진로를 왼쪽으로 꺾음 || 左右/さゆう:좌우
巧,review,manual_review_required,,"[""교묘함"",""솜씨 좋음""]","[""adroit"",""skilled"",""ingenuity""]","[""コウ""]","[""たく.み"",""たく.む"",""うま.い""]",工,장인 공,48,5,auto,3,"巧み/たくみ:교묘함, 솜씨 좋음 || 巧妙/こうみょう:교묘함 || 精巧/せいこう:정교한"
巨,review,manual_review_required,,"[""크다"",""거대함""]","[""gigantic"",""big"",""large"",""great""]","[""キョ""]",[],工,장인 공,48,5,auto,2,"巨大/きょだい:거대한, 막대한 || 巨匠/きょしょう:거장"
差,review,manual_review_required,,"[""차이"",""차""]","[""distinction"",""difference"",""variation"",""discrepancy"",""margin"",""balance""]","[""サ""]","[""さ.す"",""さ.し""]",工,장인 공,48,10,auto,21,"交差点/こうさてん:교차로 || 差す/さす:펴다, 꽂다, 비치다 || 差し上げる/さしあげる:드리다,바치다; 드리다(경어) || 人差し指/ひとさしゆび:검지, 집게손가락 || 差出人/さしだしにん:발신인;발송인 || 差/さ:차이, 차 || 差別/さべつ:차별 || 交差/こうさ:건너다"
巻,review,manual_review_required,,"[""감다"",""말다"",""소용돌이 모양이 되다""]","[""scroll"",""volume"",""book"",""part"",""roll up"",""wind up"",""tie"",""coil"",""counter for texts (or book scrolls)""]","[""カン"",""ケン""]","[""ま.く"",""まき"",""ま.き""]",己,몸 기,49,9,auto,2,"巻く/まく:감다, 말다, 소용돌이 모양이 되다;휘감기다 || 取り巻く/とりまく:둘러싸다, 에워싸다"
巾,review,manual_review_required,,"[""수건"",""폭""]","[""towel"",""hanging scroll"",""width"",""cloth radical (no. 50)""]","[""キン"",""フク""]","[""おお.い"",""ちきり"",""きれ""]",巾,수건 건,50,3,auto,1,雑巾/ぞうきん:걸레
市,review,manual_review_required,,"[""도시""]","[""market"",""city"",""town""]","[""シ""]","[""いち""]",巾,수건 건,50,5,auto,7,市/し:도시 || 市民/しみん:시민 || 都市/とし:도시 || 市場/いちば:시장 || 市長/しちょう:시장 || 市/いち:시장 || 市場/しじょう:시장
布,review,manual_review_required,,"[""천""]","[""linen"",""cloth"",""spread"",""distribute""]","[""フ"",""ホ""]","[""ぬの"",""し.く"",""きれ""]",巾,수건 건,50,5,auto,8,"財布/さいふ:지갑 || 布団/ふとん:이불 || 毛布/もうふ:담요 || 布/ぬの:천 || 分布/ぶんぷ:분포 || 座布団/ざぶとん:방석 || 配布/はいふ:배포 || 布告/ふこく:포고, 선포"
希,review,manual_review_required,,"[""바라다"",""드물다""]","[""hope"",""beg"",""request"",""pray"",""beseech"",""Greece"",""dilute (acid)"",""rare"",""few"",""phenomenal""]","[""キ"",""ケ""]","[""まれ"",""こいねが.う""]",巾,수건 건,50,7,auto,1,希望/きぼう:희망
師,review,manual_review_required,,"[""스승"",""전문가""]","[""expert"",""teacher"",""master"",""model"",""exemplar"",""army (incl. counter)"",""war""]","[""シ""]","[""いくさ""]",巾,수건 건,50,10,auto,5,教師/きょうし:교사 || 医師/いし:의사 || 講師/こうし:강사 || 漁師/りょうし:어부 || 牧師/ぼくし:목사
席,review,manual_review_required,,"[""좌석""]","[""seat"",""mat"",""occasion"",""place""]","[""セキ""]","[""むしろ""]",巾,수건 건,50,10,auto,11,席/せき:좌석 || 欠席/けっせき:결석 || 自由席/じゆうせき:자유석 || 運転席/うんてんせき:운전석 || 指定席/していせき:지정석 || 座席/ざせき:좌석 || 喫煙席/きつえんせき:흡연석 || 禁煙席/きんえんせき:금연석
帯,review,manual_review_required,,"[""띠"",""악단""]","[""sash"",""belt"",""obi"",""zone"",""region""]","[""タイ""]","[""お.びる"",""おび""]",巾,수건 건,50,10,auto,10,"携帯/けいたい:휴대, 휴대폰 || 帯/おび:띠, 악단 || 地帯/ちたい:지대, 지역 || 包帯/ほうたい:붕대 || 温帯/おんたい:온대 || 寒帯/かんたい:한대 || 世帯/せたい:세대, 가구 || 連帯/れんたい:연대"
帰,review,manual_review_required,,"[""돌아가(오)다""]","[""homecoming"",""arrive at"",""lead to"",""result in""]","[""キ""]","[""かえ.る"",""かえ.す"",""おく.る"",""とつ.ぐ""]",巾,수건 건,50,10,auto,6,"帰る/かえる:돌아가(오)다 || 帰り/かえり:돌아옴, 귀가 || 帰宅/きたく:귀가 || 帰国/きこく:귀국, 귀향 || 日帰り/ひがえり:날, 하루 여행 || お帰り/おかえり:(어서) 돌아옴; 어서 와요"
帳,review,manual_review_required,,"[""장부"",""수첩"",""막""]","[""notebook"",""account book"",""album"",""curtain"",""veil"",""net"",""tent""]","[""チョウ""]","[""とばり""]",巾,수건 건,50,11,auto,2,通帳/つうちょう:통장 || 手帳/てちょう:수첩
常,review,manual_review_required,,"[""항상"",""언제나""]","[""usual"",""ordinary"",""normal"",""common"",""regular"",""continually"",""always"",""long-lasting""]","[""ジョウ""]","[""つね"",""とこ-""]",巾,수건 건,50,11,auto,9,"非常に/ひじょうに:매우, 몹시 || 常に/つねに:항상,언제나 || 日常/にちじょう:일상 || 常識/じょうしき:상식 || 正常/せいじょう:정상 || 非常/ひじょう:대단히, 비상 || 異常/いじょう:이상, 비정상 || 通常/つうじょう:통상, 보통"
帽,review,manual_review_required,,"[""모자"",""머리에 쓰는 것""]","[""cap"",""headgear""]","[""ボウ"",""モウ""]","[""ずきん"",""おお.う""]",巾,수건 건,50,12,auto,1,帽子/ぼうし:모자
幅,review,manual_review_required,,"[""폭""]","[""hanging scroll"",""width""]","[""フク""]","[""はば""]",巾,수건 건,50,12,auto,3,"幅/はば:폭 || 大幅/おおはば:대폭, 큰 폭 || 幅広い/はばひろい:폭넓다"
幣,review,manual_review_required,,"[""화폐"",""폐단""]","[""cash"",""bad habit"",""humble prefix"",""gift"",""Shinto offerings of cloth"",""rope"",""cut paper""]","[""ヘイ""]","[""ぬさ""]",巾,수건 건,50,15,auto,2,紙幣/しへい:지폐 || 貨幣/かへい:화폐
干,review,manual_review_required,,"[""말리다"",""건조시키다"",""널다""]","[""dry"",""parch"",""ebb"",""recede"",""interfere"",""intercede""]","[""カン""]","[""ほ.す"",""ほ.し-"",""-ぼ.し"",""ひ.る""]",干,방패 간,51,3,auto,5,"干す/ほす:말리다,건조시키다,널다 || 若干/じゃっかん:약간 || 干渉/かんしょう:간섭 || 干渉する/かんしょうする:간섭하다 || 梅干し/うめぼし:우메보시(매실 장아찌)"
平,review,manual_review_required,,"[""평평한""]","[""even"",""flat"",""peace""]","[""ヘイ"",""ビョウ"",""ヒョウ""]","[""たい.ら"",""たい.らげる"",""ひら""]",干,방패 간,51,5,auto,15,"平和/へいわ:평화 || 平均/へいきん:평균 || 平日/へいじつ:평일 || 平気/へいき:태연함, 아무렇지 않음 || 平凡/へいぼん:평범함 || 公平/こうへい:공평함, 공정함 || 平野/へいや:평야 || 平等/びょうどう:평등"
年,review,manual_review_required,,"[""해"",""나이""]","[""year"",""counter for years""]","[""ネン""]","[""とし""]",干,방패 간,51,6,auto,31,"今年/ことし:올해 || 去年/きょねん:작년 || 一昨年/おととし:재작년 || 年代/ねんだい:연대 || 再来年/さらいねん:내후년 || 年間/ねんかん:연간, 한 해 동안, 어떤 연대의 동안 || 少年/しょうねん:소년 || 半年/はんとし:반년"
幸,review,manual_review_required,,"[""행복""]","[""happiness"",""blessing"",""fortune""]","[""コウ""]","[""さいわ.い"",""さち"",""しあわ.せ""]",干,방패 간,51,8,auto,6,"幸せ/しあわせ:행복 || 幸福/こうふく:행복 || 幸運/こううん:행운 || 幸い/さいわい:다행히, 운 좋게 || 幸いに/さいわいに:다행히 || 不幸/ふこう:불행"
幹,review,manual_review_required,,"[""줄기"",""몸통(나무)""]","[""tree trunk"",""main part"",""talent"",""capability""]","[""カン""]","[""みき""]",干,방패 간,51,13,auto,4,"新幹線/しんかんせん:신칸센, 고속철도 || 幹部/かんぶ:간부 || 幹/みき:줄기, 몸통(나무) || 幹線/かんせん:간선"
幼,review,manual_review_required,,"[""어리다""]","[""infancy"",""childhood""]","[""ヨウ""]","[""おさな.い""]",幺,작을 요,52,5,auto,4,"幼稚園/ようちえん:유치원 || 幼い/おさない:어리다 || 幼児/ようじ:유아, 어린아이 || 幼稚/ようち:유치함, 미숙함"
幽,review,manual_review_required,,"[""깊다"",""그윽함""]","[""seclude"",""confine to a room"",""deep"",""profound"",""secluded"",""faint"",""dark"",""tranquil"",""calm""]","[""ユウ""]","[""ふか.い"",""かす.か"",""くら.い"",""しろ.い""]",幺,작을 요,52,9,auto,1,幽霊/ゆうれい:유령
幾,review,manual_review_required,,"[""몇 개쯤"",""조금""]","[""how many"",""how much"",""how far"",""how long"",""some"",""several""]","[""キ""]","[""いく-"",""いく.つ"",""いく.ら""]",幺,작을 요,52,12,auto,2,"幾分/いくぶん:다소 || 幾つか/いくつか:몇 개쯤, 조금"
庁,review,manual_review_required,,"[""관청""]","[""government office""]","[""チョウ"",""テイ""]","[""やくしょ""]",广,엄호 엄,53,5,auto,2,県庁/けんちょう:현청 || 官庁/かんちょう:관청
広,review,manual_review_required,,"[""넓다""]","[""wide"",""broad"",""spacious""]","[""コウ""]","[""ひろ.い"",""ひろ.まる"",""ひろ.める"",""ひろ.がる"",""ひろ.げる""]",广,엄호 엄,53,5,auto,7,広い/ひろい:넓다 || 広さ/ひろさ:넓이 || 広告/こうこく:광고 || 広げる/ひろげる:넓히다 || 広場/ひろば:광장 || 広々/ひろびろ:널찍함 || 幅広い/はばひろい:폭넓다
庇,review,manual_review_required,,"[""감싸다"",""비호하다"",""두둔하다""]","[""protect"",""shield"",""defend"",""eaves"",""canopy"",""penthouse"",""visor""]","[""ヒ""]","[""ひさし"",""おお.う"",""かば.う""]",广,엄호 엄,53,7,auto,1,"庇う/かばう:감싸다,비호하다; 두둔하다, 비호하다"
床,review,manual_review_required,,"[""마루""]","[""bed"",""counter for beds"",""floor"",""padding"",""tatami""]","[""ショウ""]","[""とこ"",""ゆか""]",广,엄호 엄,53,7,auto,4,"床屋/とこや:이발사(가게) || 床/ゆか:마루 || 床の間/とこのま:도코노마, 벽감 || 起床/きしょう:기상"
序,review,manual_review_required,,"[""순서"",""서문""]","[""preface"",""beginning"",""order"",""precedence"",""occasion"",""chance"",""incidentally""]","[""ジョ""]","[""つい.で"",""ついで""]",广,엄호 엄,53,7,auto,2,"順序/じゅんじょ:순서, 차례 || 秩序/ちつじょ:질서"
底,review,manual_review_required,,"[""바닥""]","[""bottom"",""sole"",""depth"",""bottom price"",""base"",""kind"",""sort""]","[""テイ""]","[""そこ""]",广,엄호 엄,53,8,auto,5,"底/そこ:바닥 || 徹底/てってい:철저 || 徹底する/てっていする:철저하다 || 到底/とうてい:도저히 || 根底/こんてい:근저, 근본, 밑바닥"
店,review,manual_review_required,,"[""가게""]","[""store"",""shop""]","[""テン""]","[""みせ"",""たな""]",广,엄호 엄,53,8,auto,9,"店/みせ:가게 || 喫茶店/きっさてん:찻집, 카페 || 店員/てんいん:점원, 사무원, 가게 직원 || 書店/しょてん:서점 || 商店/しょうてん:상점 || 本店/ほんてん:본점, 영업의 본거가 되는 가게, 이 가게 || 支店/してん:지점, 지사 || 売店/ばいてん:매점"
府,review,manual_review_required,,"[""부"",""관청""]","[""borough"",""urban prefecture"",""govt office"",""representative body"",""storehouse""]","[""フ""]",[],广,엄호 엄,53,8,auto,1,"政府/せいふ:정부, 행정, 정권"
度,review,manual_review_required,,"[""자주"",""여러 번""]","[""degrees"",""occurrence"",""time"",""counter for occurrences"",""consider"",""attitude""]","[""ド"",""ト"",""タク""]","[""たび"",""-た.い""]",广,엄호 엄,53,9,auto,26,"一度/いちど:한 번, 하나 시간, 때 || 今度/こんど:지난번, 이번, 다음번 || 丁度/ちょうど:정각, 정확히 || 支度/したく:준비,채비 || 一度に/いちどに:한꺼번에, 동시에 || 速度/そくど:속도 || 態度/たいど:태도 || 温度/おんど:온도, 체온"
座,review,manual_review_required,,"[""자리"",""앉다""]","[""squat"",""seat"",""cushion"",""gathering"",""sit""]","[""ザ""]","[""すわ.る""]",广,엄호 엄,53,10,auto,8,"座席/ざせき:좌석 || 正座/せいざ:정좌;무릎을 꿇고 단정하게 앉음 || 座布団/ざぶとん:방석 || 座敷/ざしき:다다미 방 || 即座に/そくざに:즉석에서, 즉시 || 座標/ざひょう:좌표 || 星座/せいざ:별자리 || 座談会/ざだんかい:좌담회"
庫,review,manual_review_required,,"[""창고""]","[""warehouse"",""storehouse""]","[""コ"",""ク""]","[""くら""]",广,엄호 엄,53,10,auto,3,車庫/しゃこ:차고 || 倉庫/そうこ:창고 || 在庫/ざいこ:재고
庭,review,manual_review_required,,"[""뜰"",""정원""]","[""courtyard"",""garden"",""yard""]","[""テイ""]","[""にわ""]",广,엄호 엄,53,10,auto,2,"家庭/かてい:가정, 집안 || 校庭/こうてい:교정, 운동장"
庶,review,manual_review_required,,"[""서민"",""여러""]","[""commoner"",""all"",""bastard""]","[""ショ""]",[],广,엄호 엄,53,11,auto,1,"庶民/しょみん:흔한, 공통의 사람들"
康,review,manual_review_required,,"[""편안함"",""건강""]","[""ease"",""peace""]","[""コウ""]",[],广,엄호 엄,53,11,auto,1,健康/けんこう:건강
廃,review,manual_review_required,,"[""쇠퇴하다""]","[""abolish"",""obsolete"",""cessation"",""discarding"",""abandon""]","[""ハイ""]","[""すた.れる"",""すた.る""]",广,엄호 엄,53,12,auto,3,廃止/はいし:폐지 || 廃棄/はいき:폐기 || 廃れる/すたれる:쇠퇴하다
延,review,manual_review_required,,"[""연인원"",""총계"",""연장""]","[""prolong"",""stretching""]","[""エン""]","[""の.びる"",""の.べる"",""の.べ"",""の.ばす""]",廴,민책받침 인,54,8,auto,5,"延びる/のびる:연장되다, 늘어나다 || 延ばす/のばす:(시일을)연장시키다,미루다; 연장하다, 연기하다 || 延長/えんちょう:연장, 확장 || 延期/えんき:연기, 연장 || 延べ/のべ:연인원, 총계, 연장"
廷,review,manual_review_required,,"[""조정"",""관청""]","[""courts"",""imperial court"",""government office""]","[""テイ""]",[],廴,민책받침 인,54,7,auto,1,法廷/ほうてい:법정
建,review,manual_review_required,,"[""세워지다"",""지어지다""]","[""build""]","[""ケン"",""コン""]","[""た.てる"",""た.て"",""-だ.て"",""た.つ""]",廴,민책받침 인,54,9,auto,7,"建物/たてもの:건물 || 建てる/たてる:(건물을) 세우다, 짓다 || 建つ/たつ:세워지다, 지어지다 || 建設/けんせつ:건설 || 建築/けんちく:건축 || 再建/さいけん:재건(절 또는 신사) || 建前/たてまえ:명분, 원칙"
